央视频道,#genre#
山东教育卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221228651/681124173.smil
延边卫视,rtsp://182.139.235.40/PLTV/88888896/224/3221228662/725308209.smil
中国交通,rtsp://182.139.235.40/PLTV/88888888/224/3221228440/589023143.smil
四川频道,#genre#
CDTV-1高清,rtsp://182.139.235.40/PLTV/88888896/224/3221228528/676981477.smil
CDTV-2高清,rtsp://182.139.235.40/PLTV/88888888/224/3221226313/00000100000000060000000000035250_0.smil
CDTV-3高清,rtsp://182.139.235.40/PLTV/88888888/224/3221226011/00000100000000060000000000035092_0.smil
CDTV-4高清,rtsp://182.139.235.40/PLTV/88888888/224/3221226311/00000100000000060000000000035251_0.smil
CDTV-5高清,rtsp://182.139.235.40/PLTV/88888898/224/3221228233/10000100000000060000000004506788_0.smil
CDTV-6高清,rtsp://182.139.235.40/PLTV/88888888/224/3221226309/00000100000000060000000000035252_0.smil
CDTV-8高清,rtsp://182.139.235.40/PLTV/88888888/224/3221226307/00000100000000060000000000035253_0.smil
四川卫视高清,rtsp://182.139.235.40/PLTV/88888896/224/3221228561/674242604_mdn_1.smil
SCTV-2高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227905/10000100000000060000000003706211_0.smil
SCTV-3高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227904/10000100000000060000000003706213_0.smil
SCTV-4高清,rtsp://182.139.235.40/PLTV/88888896/224/3221228363/10000100000000060000000005212704_0.smil
SCTV-5高清,rtsp://182.139.235.40/PLTV/88888896/224/3221227947/10000100000000060000000003734394_0.smil
SCTV-6高清,rtsp://182.139.235.40/PLTV/88888888/224/3221228421/604622562.smil
SCTV-7高清,rtsp://182.139.235.40/PLTV/88888896/224/3221228366/10000100000000060000000004584332_0.smil
SCTV-科教高清,rtsp://182.139.235.40/PLTV/88888896/224/3221228514/657294250.smil
i成都,rtsp://182.139.235.40/PLTV/88888896/224/3221228398/647574497.smil
熊猫新闻高清专区,rtsp://182.139.235.40/PLTV/88888893/224/3221227401/10000100000000060000000002893949_0.smil
熊猫体娱高清专区,rtsp://182.139.235.40/PLTV/88888893/224/3221227161/10000100000000060000000001098399_0.smil
熊猫少儿高清专区,rtsp://182.139.235.40/PLTV/88888893/224/3221227892/10000100000000060000000003561287_0.smil
熊猫影院专区,rtsp://182.139.235.40/PLTV/88888893/224/3221226766/10000100000000060000000001098398_0.smil
睛彩四川,rtsp://182.139.235.40/PLTV/88888896/224/3221228028/10000100000000060000000004002942_0.smil
云看熊猫专区,rtsp://182.139.235.40/PLTV/88888895/224/3221228037/10000100000000060000000003575666_0.smil
收视导视高清,rtsp://182.139.235.40/PLTV/88888896/224/3221228426/613328510.smil
熊猫爱生活高清专区,rtsp://182.139.235.40/PLTV/88888893/224/3221227898/10000100000000060000000003561289_0.smil
大爱四川高清专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228392/10000100000000060000000003794875_0.smil
大爱旅游高清专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228611/683349925.smil
大爱生活高清专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228572/683350141.smil
大爱时尚高清专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228569/683349992.smil
4K超清,#genre#
CCTV4K,http://192.168.31.10:4040/rtp/239.93.42.41:5140
欢笑剧场-4K,http://192.168.31.10:4040/rtp/239.93.0.145:5140/
爱上4K专区,rtsp://182.139.235.40/PLTV/88888896/224/3221228463/658953872.smil
绚影4K专区,rtsp://182.139.235.40/PLTV/446/224/3221228530/656103811.smil
亲子趣学4k专区,rtsp://182.139.235.40/PLTV/446/224/3221228553/687288414.smil
中录动漫4K专区,rtsp://182.139.235.40/PLTV/446/224/3221228636/687288046.smil
4K乐享超清专区,rtsp://182.139.235.40/PLTV/446/224/3221228646/690652062.smil
体育竞技,#genre#
爱体育专区,rtsp://182.139.235.40/PLTV/88888895/224/3221226822/10000100000000060000000001366524_0.smil
电竞天堂高清专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226199/00000100000000060000000000035192_0.smil
游戏风云,rtsp://182.139.235.40/PLTV/88888888/224/3221226193/00000100000000060000000000035189_0.smil
足球高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227969/10000100000000060000000003714446_0.smil
高网高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227916/10000100000000060000000003714447_0.smil
台球高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227932/10000100000000060000000003714449_0.smil
爱电竞专区,rtsp://182.139.235.40/PLTV/446/224/3221228423/654860425.smil
爱赛车专区,rtsp://182.139.235.40/PLTV/446/224/3221228520/654860312.smil
来钓鱼吧专区,rtsp://182.139.235.40/PLTV/446/224/3221228495/654213801.smil
麻辣体育专区,rtsp://182.139.235.40/PLTV/446/224/3221228408/654212908.smil
先锋乒羽,rtsp://182.139.235.40/PLTV/446/224/3221228523/675976893.smil
天元围棋,rtsp://182.139.235.40/PLTV/446/224/3221228554/675976190.smil
快乐垂钓,rtsp://182.139.235.40/PLTV/446/224/3221228594/694519708.smil
魅力足球-HD,http://192.168.31.10:4040/rtp/239.93.42.97:5140/
勁爆體育-HD,http://192.168.31.10:4040/rtp/239.93.42.98:5140/
儿童动漫,#genre#
卡酷动画,rtsp://182.139.235.40/PLTV/88888893/224/3221227147/10000100000000060000000001098345_0.smil
金鹰卡通,rtsp://182.139.235.40/PLTV/88888888/224/3221226223/00000100000000060000000000035205_0.smil
优漫卡通,rtsp://182.139.235.40/PLTV/88888893/224/3221226760/10000100000000060000000001098392_0.smil
宝宝动画专区,rtsp://182.139.235.40/PLTV/88888893/224/3221228665/734608958.smil
少儿动画高清专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226505/10000100000000060000000000076473_0.smil
青春动漫专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226323/00000100000000060000000000035260_0.smil
动画番剧专区,rtsp://182.139.235.40/PLTV/446/224/3221228626/686532372.smil
金熊猫卡通高清专区,rtsp://182.139.235.40/PLTV/88888893/224/3221227159/10000100000000060000000001098397_0.smil
炫动卡通,rtsp://182.139.235.40/PLTV/88888893/224/3221227155/10000100000000060000000001098393_0.smil
嘉佳卡通,http://192.168.31.10:4040/udp/239.93.0.246:5140	
動漫秀場-HD,http://192.168.31.10:4040/udp/239.93.42.93:5140/
動畫-HD,http://192.168.31.10:4040/udp/239.93.42.89:5140/
爱幼教专区,rtsp://182.139.235.40/PLTV/446/224/3221228418/654860406.smil
爱玩具专区,rtsp://182.139.235.40/PLTV/446/224/3221228515/654860365.smil
爱动漫专区,rtsp://182.139.235.40/PLTV/446/224/3221228428/654861849.smil
少儿天地专区,rtsp://182.139.235.40/PLTV/446/224/3221228502/656570997.smil
影视频道,#genre#
经典电影专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226042/10000100000000060000000000076468_0.smil
华语影院专区,http://192.168.31.10:4040/udp/239.93.42.86:5140/
星光院线专区,http://192.168.31.10:4040/udp/239.93.42.87:5140/
全球大片专区,http://192.168.31.10:4040/udp/239.93.42.90:5140/
热播剧场专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226501/10000100000000060000000000076467_0.smil
热门剧场专区,http://192.168.31.10:4040/udp/239.93.42.88:5140/
港剧风云专区,http://192.168.31.10:4040/udp/239.93.0.143:5140/
谍战剧场专区,http://192.168.31.10:4040/udp/239.93.42.91:5140/
爱怀旧专区,rtsp://182.139.235.40/PLTV/446/224/3221228489/654860857.smil
爱喜剧专区,rtsp://182.139.235.40/PLTV/446/224/3221228413/654842189.smil
爱奇谈专区,rtsp://182.139.235.40/PLTV/446/224/3221228525/654862061.smil
爱科幻专区,rtsp://182.139.235.40/PLTV/446/224/3221228474/654858548.smil
爱院线专区,rtsp://182.139.235.40/PLTV/446/224/3221228500/654858370.smil
都市剧场,rtsp://182.139.235.40/PLTV/446/224/3221228448/656044391.smil
爱谍战专区,rtsp://182.139.235.40/PLTV/446/224/3221228456/654860214.smil
爱经典专区,rtsp://182.139.235.40/PLTV/446/224/3221228484/654860170.smil
爱悬疑专区,rtsp://182.139.235.40/PLTV/446/224/3221228479/654859898.smil
爱青春专区,rtsp://182.139.235.40/PLTV/446/224/3221228510/654860347.smil
精彩影視-HD,http://192.168.31.10:4040/udp239.93.42.92:5140/
数字频道,#genre#
上海纪实高清,rtsp://182.139.235.40/PLTV/88888888/224/3221228404/585951193.smil
金鹰纪实高清,rtsp://182.139.235.40/PLTV/88888888/224/3221228412/585951209.smil
重庆汽摩,rtsp://182.139.235.40/PLTV/88888896/224/3221228667/728909874.smil
梨园,rtsp://182.139.235.40/PLTV/88888896/224/3221228629/730462969.smil
樂遊-HD,http://192.168.31.10:4040/udp239.93.42.94:5140/
金色學堂-HD,http://192.168.31.10:4040/udp239.93.42.95:5140/
法治天地-HD,http://192.168.31.10:4040/udp239.93.42.96:5140/
热门综艺高清专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226139/00000100000000060000000000035161_0.smil
音乐现场高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227938/10000100000000060000000003714453_0.smil
戏曲精选专区,rtsp://182.139.235.40/PLTV/88888893/224/3221228397/10000100000000060000000004900703_0.smil
戏曲专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227963/10000100000000060000000003714450_0.smil
魅力时尚高清专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226503/10000100000000060000000000076469_0.smil
生活时尚,rtsp://182.139.235.40/PLTV/88888893/224/3221228415/10000100000000060000000004901361_0.smil
爱生活高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227935/10000100000000060000000003714448_0.smil
财富天下,rtsp://182.139.235.40/PLTV/88888895/224/3221226294/10000100000000060000000000394240_0.smil
股评汇专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226153/00000100000000060000000000035168_0.smil
纪实人文,rtsp://182.139.235.40/PLTV/88888893/224/3221226836/10000100000000060000000001430436_0.smil
墨宝高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227975/10000100000000060000000003715620_0.smil
军事高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227910/10000100000000060000000003714451_0.smil
解密高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227929/10000100000000060000000003714452_0.smil
地理高清专区,rtsp://182.139.235.40/PLTV/88888895/224/3221227926/10000100000000060000000003714454_0.smil
导视专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226185/00000100000000060000000000035185_0.smil
收视指南专区,rtsp://182.139.235.40/PLTV/88888888/224/3221226048/10000100000000060000000000076474_0.smil
蓉城先锋专区,rtsp://182.139.235.40/PLTV/88888895/224/3221226330/10000100000000060000000000507274_0.smil
星空精选高清专区,rtsp://182.139.235.40/PLTV/88888893/224/3221226764/10000100000000060000000001098396_0.smil
东方财经高清,rtsp://182.139.235.40/PLTV/88888893/224/3221228614/701208658.smil
百姓健康,rtsp://182.139.235.40/PLTV/446/224/3221228453/656571188.smil
求索频道高清,rtsp://182.139.235.40/PLTV/446/224/3221228494/654861653.smil
